id,name,category,management,block,address,phone,website,registry_code,is_active
TECH_001,"Government Polytechnic College, Nagercoil",Polytechnic College (Diploma),Government,Agastheeswaram,"Konam, Nagercoil, Kanyakumari District, Tamil Nadu — 629004",+91 4652 260271,http://www.gptcnagercoil.org,TNDTE Code: 119 | AICTE Approved,1
TECH_002,Kamaraj Polytechnic College,Polytechnic College (Diploma),Government Aided,Agastheeswaram,"Pazhavilai, Neendakarai-A, Agastheeswaram, Kanyakumari District — 629501",+91 4652 253450,https://www.kamarajpolytechnic.com,TNDTE Code: 230 | AICTE Approved,1
TECH_003,Moderator Gnanadason Polytechnic College,Polytechnic College (Diploma),Government Aided,Agastheeswaram,"Distillery Road, Vadasery, Nagercoil, Kanyakumari District — 629001",+91 4652 278077,https://www.csimgp.in,TNDTE Code: 375 | AICTE Approved,1
TECH_004,Sree Vaikundar Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Agastheeswaram,"Pillayarpuram, Agasteeswaram, Kanyakumari District — 629501",+91 4652 253888,https://www.svpc.edu.in,TNDTE Affiliated | AICTE Approved,1
TECH_005,Surya Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Agastheeswaram,"Surya Nagar, Kanyakumari Main Road, Agasteeswaram — 629702",+91 4652 271222,http://www.suryapolytechnic.com,TNDTE Code: 579 | AICTE Approved,1
TECH_006,"Government Industrial Training Institute (ITI), Nagercoil",Industrial Training Institute (ITI),Government,Agastheeswaram,"Konam, Nagercoil, Kanyakumari District, Tamil Nadu — 629004",+91 4652 260463,https://skilltraining.tn.gov.in,NCVT MIS Code: GR33000045,1
TECH_007,"S.M.R.V. Government Industrial Training Institute (Women), Nagercoil",Industrial Training Institute (ITI),Government,Agastheeswaram,"PWD Road, Veppamoodu Junction, Nagercoil, Kanyakumari District — 629001",+91 4652 232145,https://skilltraining.tn.gov.in,NCVT MIS Code: GR33000092,1
TECH_008,Kanyakumari Diocese C.S.I. Private Industrial Training Institute,Industrial Training Institute (ITI),Private Self-Financing,Agastheeswaram,"71, Dennis Street, Nagercoil, Kanyakumari District — 629001",+91 4652 230554,https://csikd.org,NCVT MIS Code: PR33000109,1
TECH_009,Tamil Nadu State Transport Corporation (TNSTC) Private ITI,Industrial Training Institute (ITI),Government / PSU Undertaking,Agastheeswaram,"TNSTC Complex, Ranithottam, Nagercoil, Kanyakumari District — 629001",+91 4652 220025,https://www.tnstc.in,NCVT MIS Code: PR33000416,1
TECH_010,Anna Vinayagar Private Industrial Training Institute,Industrial Training Institute (ITI),Private Self-Financing,Agastheeswaram,"Main Road, Ganapathipuram, Agastheeswaram, Kanyakumari District — 629202",+91 4652 282244,[Unverified],NCVT MIS Code: PR33000011,1
TECH_011,Kalaivanar N.S.K. Polytechnic College,Polytechnic College (Diploma),Government Aided,Thovalai,"V.O.C. Nagar, Chenbagaramanputhur, Thovalai Taluk — 629304",+91 4652 263222,https://www.knskpolytechniccollege.edu.in,TNDTE Code: 368 | AICTE Approved,1
TECH_012,Cape Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Thovalai,"Levengipuram, Near Muppandal, Aralvoimozhi, Thovalai Taluk — 629301",+91 4652 267555,http://www.capepolytechnic.com,TNDTE Code: 723 | AICTE Approved,1
TECH_013,New Cape Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Thovalai,"Cape Nagar, Levengipuram, Aralvoimozhi, Thovalai Taluk — 629301",+91 4652 267556,http://www.newcapepolytechnic.com,TNDTE Code: 828 | AICTE Approved,1
TECH_014,Sun Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Thovalai,"Sun Nagar, Erachakulam, Thovalai Taluk, Kanyakumari District — 629902",+91 4652 281462,http://www.sunedu.ac.in,TNDTE Code: 518 | AICTE Approved,1
TECH_015,C.S.I. Motor Mechanic Training Centre Private ITI,Industrial Training Institute (ITI),Private Self-Financing,Thovalai,"Main Road, Boothapandy, Thovalai Taluk — 629852",+91 4652 281223,[Unverified],NCVT MIS Code: PR33000084,1
TECH_016,Udaya Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Rajakkamangalam,"Udaya Nagar, Vellamodi, Azhikkal, Rajakkamangalam Block — 629204",+91 4651 239900,http://www.udayacollege.com,TNDTE Code: 568 | AICTE Approved,1
TECH_017,Friends Private Industrial Training Institute,Industrial Training Institute (ITI),Private Self-Financing,Rajakkamangalam,"Rajakkamangalam Post, Kanyakumari District — 629502",+91 4652 250345,[Unverified],NCVT MIS Code: PR33000139,1
TECH_018,Morning Star Polytechnic College,Polytechnic College (Diploma),Government Aided,Kurunthencode,"Chunkankadai, Nagercoil, Kanyakumari District — 629003",+91 4652 230005,http://www.morningstarpoly.edu.in,TNDTE Code: 356 | AICTE Approved,1
TECH_019,Sree Krishna Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Kurunthencode,"Thuvarancaud, Kaliancaud, Chunkankadai, Kanyakumari District — 629003",+91 4652 231365,http://www.sreekrishnapolytechnic.org,TNDTE Code: 381 | AICTE Approved,1
TECH_020,Nirmala Institute of Technology / Private ITI,Industrial Training Institute (ITI),Private Self-Financing,Kurunthencode,"Kattathurai, Near Thingalnagar, Kurunthencode Block — 629158",+91 4651 277255,[Unverified],NCVT MIS Code: PR33000216,1
TECH_021,Noorul Islam Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Thuckalay,"Punkarai, Thiruvithancode, Thuckalay, Kanyakumari District — 629174",+91 4651 250566,http://www.nicollege.com,TNDTE Code: 357 | AICTE Approved,1
TECH_022,St. Judes Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Thuckalay,"Mulagumoodu, Kalkulam Taluk, Kanyakumari District — 629167",+91 4651 248350,http://www.stjudespolytechnic.in,TNDTE Code: 919 | AICTE Approved,1
TECH_023,BWDA Polytechnic College,Polytechnic College (Diploma),Private Self-Financing,Thuckalay,"BWDA Complex, Mulagumoodu, Kalkulam Taluk — 629167",+91 4651 248888,http://www.bwdapolyofficial.org,TNDTE Code: 823 | AICTE Approved,1
